Kategorie,Produkt,Preis,Link
c,Veganer Hummus Natur XXL,"3,49 €",https://www.interspar.at/shop/lebensmittel/spar-veggie-veganer-hummus-natur-xxl/p/3784037
c,Taleggio D.O.P.,"2,39 €",https://www.interspar.at/shop/lebensmittel/spar-premium-taleggio-dop/p/2020001313730
c,Bio-Latte-Macchiato,"1,29 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-latte-macchiato/p/2020004105400
c,Veganes Bio-Gyros,"2,99 €",https://www.interspar.at/shop/lebensmittel/spar-veggie-veganes-bio-gyros/p/1125412
c,Bio-Frischkäse aus Heumlich mit Kren,"1,59 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-frischkaese-aus-heumlich-mit-kren/p/2020003532221
c,Bergbauern Bio-Jogurt Himbeer-Granatapfel,"1,95 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bergbauern-bio-jogurt-himbeer-granatapfel/p/2020004908339
c,Bärlauch-Aufstrich,"2,19 €",https://www.interspar.at/shop/lebensmittel/spar-premium-edition-johanna-maier-baerlauch-aufstrich/p/2020001627691
c,"Tortellini mit ""Prosciutto di Parma DOP""","3,49 €",https://www.interspar.at/shop/lebensmittel/spar-premium-edition-johanna-maier-tortellini-mit-prosciutto-di-parma-dop/p/1745153
c,Tortelloni mit Ricotta-Spinatfüllung,"2,19 €",https://www.interspar.at/shop/lebensmittel/spar-feine-kueche-tortelloni-mit-ricotta-spinatfuellung/p/6343804
c,Veganes Bio-Kichererbsenragout,"6,99 €",https://www.interspar.at/shop/lebensmittel/spar-premium-edition-paul-ivi-veganes-bio-kichererbsenragout/p/2020005724037
c,Frischkäse Natur laktosefrei,"1,59 €",https://www.interspar.at/shop/lebensmittel/spar-free-from-frischkaese-natur-laktosefrei/p/2888262
c,Bio-Jogurt Erdbeere,"0,79 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-jogurt-erdbeere/p/2020004405845
c,Hummus Curry-Mango,"2,39 €",https://www.interspar.at/shop/lebensmittel/spar-veggie-by-neni-hummus-curry-mango/p/2020000706359
c,Penne mit Curry & Huhn,"2,79 €",https://www.interspar.at/shop/lebensmittel/spar-enjoy-by-neni-penne-mit-curry-huhn/p/2020001081097
c,Bio-Rahmbrie,"1,99 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-rahmbrie/p/3201107
c,Thunfisch-Aufstrich,"1,99 €",https://www.interspar.at/shop/lebensmittel/s-budget-thunfisch-aufstrich/p/2020005368859
c,Tortelloni mit Käsefüllung,"3,89 €",https://www.interspar.at/shop/lebensmittel/spar-feine-kueche-tortelloni-mit-kaesefuellung/p/2020001681310
c,Bio-Topfenaufstrich Liptauer Art,"2,59 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-topfenaufstrich-liptauer-art/p/2020003036651
c,Butterschmalz,"7,69 €",https://www.interspar.at/shop/lebensmittel/s-budget-butterschmalz/p/2020005289321
c,Emmentaler in Scheiben,"4,46 €",https://www.interspar.at/shop/lebensmittel/s-budget-emmentaler-in-scheiben/p/2020005507678
c,veganer Aufstrich Liptauer Art,"1,79 €",https://www.interspar.at/shop/lebensmittel/spar-veggie-veganer-aufstrich-liptauer-art/p/2020005683747
c,Bergbauern Bio-Jogurt Waldbeere,"1,95 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bergbauern-bio-jogurt-waldbeere/p/2020004016652
c,Bio-Halloumi Klassik,"3,99 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-halloumi-klassik/p/2020004718136
c,Bio-Jogurt Griechischer Art 10% Fett,"1,59 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-jogurt-griechischer-art-10-fett/p/2020002968472
c,Bio-Buttermilch Erdbeere,"1,69 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-buttermilch-erdbeere/p/2020001628735
c,Latte Macchiato,"0,85 €",https://www.interspar.at/shop/lebensmittel/s-budget-latte-macchiato/p/7832321
c,Heringsalat Rote Rübe,"1,99 €",https://www.interspar.at/shop/lebensmittel/s-budget-heringsalat-rote-ruebe/p/2020003260728
c,Buttermilch laktosefrei,"0,75 €",https://www.interspar.at/shop/lebensmittel/spar-free-from-buttermilch-laktosefrei/p/2889832
c,Hühner Filets gebacken 2 Stück,"4,29 €",https://www.interspar.at/shop/lebensmittel/spar-feine-kueche-huehner-filets-gebacken-2-stueck/p/7407840
c,Bio-Jogurt Vanille,"0,79 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-jogurt-vanille/p/6753672
c,Kürbissuppe,"3,99 €",https://www.interspar.at/shop/lebensmittel/spar-premium-edition-johanna-maier-kuerbissuppe/p/6031305
c,Griechischer Bio-Ziegenkäse Natur,"2,79 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-griechischer-bio-ziegenkaese-natur/p/2020005329461
c,Tramezzini Aufstrich Schinken,"1,99 €",https://www.interspar.at/shop/lebensmittel/s-budget-tramezzini-aufstrich-schinken/p/2020005415423
c,Cremejogurt Exotik,"0,45 €",https://www.interspar.at/shop/lebensmittel/s-budget-cremejogurt-exotik/p/1386943
c,Faschierte Laibchen mit Stampfkartoffeln,"3,49 €",https://www.interspar.at/shop/lebensmittel/spar-feine-kueche-faschierte-laibchen-mit-stampfkartoffeln/p/2020001361175
c,Bio-Buttermilch Orange-Banane,"1,69 €",https://www.interspar.at/shop/lebensmittel/spar-naturpur-bio-buttermilch-orange-banane/p/2020004164162
c,Speisetopfen mager laktosefrei,"0,99 €",https://www.interspar.at/shop/lebensmittel/spar-free-from-speisetopfen-mager-laktosefrei/p/7613449
c,Mezzelune mit Speck & Brie,"3,49 €",https://www.interspar.at/shop/lebensmittel/spar-premium-edition-johanna-maier-mezzelune-mit-speck-brie/p/2020005341142
c,Gorgonzola g.U. dolce,"2,59 €",https://www.interspar.at/shop/lebensmittel/spar-premium-gorgonzola-gu-dolce/p/2020004518323
c,Ravioli Bufala mit Büffelmilch-Ricotta & Spinat,"3,49 €",https://www.interspar.at/shop/lebensmittel/spar-premium-edition-johanna-maier-ravioli-bufala-mit-bueffelmilch-ricotta-spinat/p/2020001535583
